FPM:   Word:                  Gender:
2.5    microscope             f -> m 
2.5    meuble                 f -> m 
2.4    licencié               f -> m 
2.4    elfe                   f -> m 
2.4    centimètre             f -> m 
2.4    bandage                f -> m 
2.4    platine                f -> m 
2.4    verrouillage           f -> m 
2.4    tête-à-tête            f -> m 
2.4    éloge                  f -> m 
2.4    balayage               f -> m 
2.4    sosie                  f -> m 
2.4    contremaître           f -> m 
2.4    méga                   f -> m 
2.4    largue                 f -> m 
2.4    traitre                f -> m 
2.3    violoncelle            f -> m 
2.3    pré                    f -> m 
2.3    gone                   f -> m 
2.3    millénaire             f -> m 
2.3    sortilège              f -> m 
2.3    auxiliaire             f -> m 
2.3    vigile                 f -> m 
2.3    demi-frère             f -> m 
2.3    retraité               f -> m 
2.3    cartouche              f -> m 
2.3    ulcère                 f -> m 
2.3    cheyenne               f -> m 
2.3    jument                 m -> f 
2.3    androïde               f -> m 
2.3    gaspillage             f -> m 
2.3    pendule                f -> m 
2.3    naufrage               f -> m 
2.3    combiné                f -> m 
2.2    prestige               f -> m 
2.2    prématuré              f -> m 
2.2    cobaye                 f -> m 
2.2    amertume               m -> f 
2.2    astéroïde              f -> m 
2.2    purgatoire             f -> m 
2.2    pawnee                 f -> m 
2.2    pacha                  f -> m 
2.2    répertoire             f -> m 
2.2    bougre                 f -> m 
2.2    caprice                f -> m 
2.2    ivoire                 f -> m 
2.2    accéléré               f -> m 
2.1    grabuge                f -> m 
2.1    azote                  f -> m 
2.1    sécu                   m -> f 
2.1    déluge                 f -> m 
2.1    kiosque                f -> m 
2.1    amour-propre           f -> m 
2.1    accessoire             f -> m 
2.1    hospice                f -> m 
2.1    affichage              f -> m 
2.1    zèle                   f -> m 
2.1    intervalle             f -> m 
2.1    décompte               f -> m 
2.1    patrimoine             f -> m 
2.1    merle                  f -> m 
2.1    archevêque             f -> m 
2      orgue                  f -> m 
2      apache                 f -> m 
2      norme                  m -> f 
2      cratère                f -> m 
2      démarrage              f -> m 
2      moustique              f -> m 
2      délice                 f -> m 
2      combustible            f -> m 
2      allumage               f -> m 
2      décolleté              f -> m 
2      imperméable            f -> m 
2      jardinage              f -> m 
2      martyre                f -> m 
2      dominion               f -> m 
2      lièvre                 f -> m 
2      quartier-maître        f -> m 
2      génocide               f -> m 
2      trèfle                 f -> m 
1.9    couchage               f -> m 
1.9    porte-monnaie          f -> m 
1.9    sage-femme             m -> f 
1.9    érable                 f -> m 
1.9    somnifère              f -> m 
1.9    soufre                 f -> m 
1.9    cortège                f -> m 
1.9    infrarouge             f -> m 
1.9    braque                 f -> m 
1.9    forage                 f -> m 
1.9    ré                     f -> m 
1.9    diamètre               f -> m 
1.9    nouveau-né             f -> m 
1.8    acolyte                f -> m 
1.8    cidre                  f -> m 
1.8    quota                  f -> m 
1.8    ogre                   f -> m 
